"Id","name_clean","PAIS","perc_occ","threshold","cumple","RankcA1","NormcA1"
"1",8807,"Espeletia annemariana","COLOMBIA",0.277777777777778,0.18,"Yes",1,0.0434782608695652
"2",8954,"Espeletia annemariana","COLOMBIA",0.111111111111111,0.18,"Yes",3,0.130434782608696
"3",8960,"Espeletia annemariana","COLOMBIA",0.0555555555555556,0.18,"Yes",4,0.173913043478261
"4",9106,"Espeletia annemariana","COLOMBIA",0.166666666666667,0.18,"Yes",2,0.0869565217391304
"5",9721,"Espeletia annemariana","COLOMBIA",0.111111111111111,0.18,"Yes",3,0.130434782608696
"6",9722,"Espeletia annemariana","COLOMBIA",0.0555555555555556,0.18,"Yes",4,0.173913043478261
"7",9875,"Espeletia annemariana","COLOMBIA",0.166666666666667,0.18,"Yes",2,0.0869565217391304
"8",11240,"Espeletia annemariana","COLOMBIA",0.0555555555555556,0.18,"Yes",4,0.173913043478261
"9",8042,"Espeletia arbelaezii","COLOMBIA",0.03125,0.32,"Yes",5,0.113636363636364
"10",8498,"Espeletia arbelaezii","COLOMBIA",0.03125,0.32,"Yes",5,0.113636363636364
"11",8650,"Espeletia arbelaezii","COLOMBIA",0.15625,0.32,"Yes",3,0.0681818181818182
"12",8802,"Espeletia arbelaezii","COLOMBIA",0.0625,0.32,"Yes",4,0.0909090909090909
"13",8803,"Espeletia arbelaezii","COLOMBIA",0.3125,0.32,"Yes",1,0.0227272727272727
"14",9107,"Espeletia arbelaezii","COLOMBIA",0.0625,0.32,"Yes",4,0.0909090909090909
"15",9258,"Espeletia arbelaezii","COLOMBIA",0.03125,0.32,"Yes",5,0.113636363636364
"16",9408,"Espeletia arbelaezii","COLOMBIA",0.21875,0.32,"Yes",2,0.0454545454545455
"17",9412,"Espeletia arbelaezii","COLOMBIA",0.03125,0.32,"Yes",5,0.113636363636364
"18",9721,"Espeletia arbelaezii","COLOMBIA",0.03125,0.32,"Yes",5,0.113636363636364
"19",10325,"Espeletia arbelaezii","COLOMBIA",0.03125,0.32,"Yes",5,0.113636363636364
"20",2866,"Espeletia arborea","VENEZUELA",0.444444444444444,0.09,"Yes",1,0.125
"21",3779,"Espeletia arborea","VENEZUELA",0.222222222222222,0.09,"Yes",2,0.25
"22",4084,"Espeletia arborea","VENEZUELA",0.222222222222222,0.09,"Yes",2,0.25
"23",4842,"Espeletia arborea","VENEZUELA",0.111111111111111,0.09,"Yes",3,0.375
"24",9111,"Espeletia ariana","COLOMBIA",1,0.03,"Yes",1,1
"25",8802,"Espeletia azucarina","COLOMBIA",0.75,0.04,"Yes",1,0.333333333333333
"26",8954,"Espeletia azucarina","COLOMBIA",0.25,0.04,"Yes",2,0.666666666666667
"27",8960,"Espeletia betancurii","COLOMBIA",1,0.02,"Yes",1,1
"28",8802,"Espeletia brachyaxiantha","COLOMBIA",0.03125,0.32,"Yes",5,0.161290322580645
"29",8952,"Espeletia brachyaxiantha","COLOMBIA",0.03125,0.32,"Yes",5,0.161290322580645
"30",8954,"Espeletia brachyaxiantha","COLOMBIA",0.4375,0.32,"Yes",1,0.032258064516129
"31",9106,"Espeletia brachyaxiantha","COLOMBIA",0.125,0.32,"Yes",2,0.0645161290322581
"32",9107,"Espeletia brachyaxiantha","COLOMBIA",0.125,0.32,"Yes",2,0.0645161290322581
"33",9405,"Espeletia brachyaxiantha","COLOMBIA",0.03125,0.32,"Yes",5,0.161290322580645
"34",9416,"Espeletia brachyaxiantha","COLOMBIA",0.0625,0.32,"Yes",4,0.129032258064516
"35",9870,"Espeletia brachyaxiantha","COLOMBIA",0.0625,0.32,"Yes",4,0.129032258064516
"36",9875,"Espeletia brachyaxiantha","COLOMBIA",0.09375,0.32,"Yes",3,0.0967741935483871
"37",1305,"Espeletia brassicoidea","COLOMBIA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"38",5894,"Espeletia brassicoidea","COLOMBIA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"39",6512,"Espeletia brassicoidea","COLOMBIA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"40",6512,"Espeletia brassicoidea","VENEZUELA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"41",6662,"Espeletia brassicoidea","COLOMBIA",0.102564102564103,0.39,"Yes",3,0.0428571428571429
"42",6663,"Espeletia brassicoidea","COLOMBIA",0.0769230769230769,0.39,"Yes",4,0.0571428571428571
"43",6665,"Espeletia brassicoidea","COLOMBIA",0.153846153846154,0.39,"Yes",1,0.0142857142857143
"44",6665,"Espeletia brassicoidea","VENEZUELA",0.102564102564103,0.39,"Yes",3,0.0428571428571429
"45",6666,"Espeletia brassicoidea","COLOMBIA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"46",6666,"Espeletia brassicoidea","VENEZUELA",0.0769230769230769,0.39,"Yes",4,0.0571428571428571
"47",6814,"Espeletia brassicoidea","COLOMBIA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"48",6815,"Espeletia brassicoidea","COLOMBIA",0.128205128205128,0.39,"Yes",2,0.0285714285714286
"49",6816,"Espeletia brassicoidea","COLOMBIA",0.102564102564103,0.39,"Yes",3,0.0428571428571429
"50",6819,"Espeletia brassicoidea","COLOMBIA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"51",6966,"Espeletia brassicoidea","COLOMBIA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"52",6967,"Espeletia brassicoidea","COLOMBIA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"53",7887,"Espeletia brassicoidea","COLOMBIA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"54",12457,"Espeletia cabrerensis","COLOMBIA",1,0.05,"Yes",1,1
"55",9105,"Espeletia cachaluensis","COLOMBIA",0.142857142857143,0.07,"Yes",3,0.333333333333333
"56",9106,"Espeletia cachaluensis","COLOMBIA",0.428571428571429,0.07,"Yes",1,0.111111111111111
"57",9258,"Espeletia cachaluensis","COLOMBIA",0.285714285714286,0.07,"Yes",2,0.222222222222222
"58",9259,"Espeletia cachaluensis","COLOMBIA",0.142857142857143,0.07,"Yes",3,0.333333333333333
"59",6813,"Espeletia caldasii","COLOMBIA",0.0666666666666667,0.15,"Yes",3,0.272727272727273
"60",6966,"Espeletia caldasii","COLOMBIA",0.333333333333333,0.15,"Yes",1,0.0909090909090909
"61",6967,"Espeletia caldasii","COLOMBIA",0.0666666666666667,0.15,"Yes",3,0.272727272727273
"62",7119,"Espeletia caldasii","COLOMBIA",0.266666666666667,0.15,"Yes",2,0.181818181818182
"63",7120,"Espeletia caldasii","COLOMBIA",0.266666666666667,0.15,"Yes",2,0.181818181818182
"64",6660,"Espeletia canescens","COLOMBIA",1,0.02,"Yes",1,1
"65",6665,"Espeletia cardonae","VENEZUELA",0.125,0.08,"Yes",3,0.333333333333333
"66",6666,"Espeletia cardonae","COLOMBIA",0.5,0.08,"Yes",1,0.111111111111111
"67",6666,"Espeletia cardonae","VENEZUELA",0.25,0.08,"Yes",2,0.222222222222222
"68",6667,"Espeletia cardonae","VENEZUELA",0.125,0.08,"Yes",3,0.333333333333333
"69",8624,"Espeletia cayetana","COLOMBIA",0.0833333333333333,0.12,"Yes",3,0.2
"70",9561,"Espeletia cayetana","COLOMBIA",0.166666666666667,0.12,"Yes",2,0.133333333333333
"71",10319,"Espeletia cayetana","COLOMBIA",0.0833333333333333,0.12,"Yes",3,0.2
"72",10472,"Espeletia cayetana","COLOMBIA",0.0833333333333333,0.12,"Yes",3,0.2
"73",10623,"Espeletia cayetana","COLOMBIA",0.0833333333333333,0.12,"Yes",3,0.2
"74",10624,"Espeletia cayetana","COLOMBIA",0.5,0.12,"Yes",1,0.0666666666666667
"75",5751,"Espeletia chardonii","VENEZUELA",0.0263157894736842,0.38,"Yes",6,0.103448275862069
"76",6359,"Espeletia chardonii","VENEZUELA",0.0263157894736842,0.38,"Yes",6,0.103448275862069
"77",6510,"Espeletia chardonii","COLOMBIA",0.0263157894736842,0.38,"Yes",6,0.103448275862069
"78",6511,"Espeletia chardonii","COLOMBIA",0.105263157894737,0.38,"Yes",3,0.0517241379310345
"79",6512,"Espeletia chardonii","VENEZUELA",0.289473684210526,0.38,"Yes",1,0.0172413793103448
"80",6513,"Espeletia chardonii","VENEZUELA",0.0526315789473684,0.38,"Yes",5,0.0862068965517241
"81",6665,"Espeletia chardonii","COLOMBIA",0.131578947368421,0.38,"Yes",2,0.0344827586206897
"82",6665,"Espeletia chardonii","VENEZUELA",0.105263157894737,0.38,"Yes",3,0.0517241379310345
"83",6817,"Espeletia chardonii","COLOMBIA",0.0263157894736842,0.38,"Yes",6,0.103448275862069
"84",6971,"Espeletia chardonii","COLOMBIA",0.0263157894736842,0.38,"Yes",6,0.103448275862069
"85",7117,"Espeletia chardonii","COLOMBIA",0.0789473684210526,0.38,"Yes",4,0.0689655172413793
"86",7125,"Espeletia chardonii","COLOMBIA",0.0263157894736842,0.38,"Yes",6,0.103448275862069
"87",8031,"Espeletia chardonii","COLOMBIA",0.0789473684210526,0.38,"Yes",4,0.0689655172413793
"88",8349,"Espeletia chocontana","COLOMBIA",0.037037037037037,0.27,"Yes",4,0.181818181818182
"89",10319,"Espeletia chocontana","COLOMBIA",0.111111111111111,0.27,"Yes",2,0.0909090909090909
"90",10320,"Espeletia chocontana","COLOMBIA",0.222222222222222,0.27,"Yes",1,0.0454545454545455
"91",10321,"Espeletia chocontana","COLOMBIA",0.0740740740740741,0.27,"Yes",3,0.136363636363636
"92",10325,"Espeletia chocontana","COLOMBIA",0.222222222222222,0.27,"Yes",1,0.0454545454545455
"93",10472,"Espeletia chocontana","COLOMBIA",0.0740740740740741,0.27,"Yes",3,0.136363636363636
"94",10473,"Espeletia chocontana","COLOMBIA",0.0740740740740741,0.27,"Yes",3,0.136363636363636
"95",10477,"Espeletia chocontana","COLOMBIA",0.111111111111111,0.27,"Yes",2,0.0909090909090909
"96",10625,"Espeletia chocontana","COLOMBIA",0.0740740740740741,0.27,"Yes",3,0.136363636363636
"97",8192,"Espeletia cleefii","COLOMBIA",0.0344827586206897,0.29,"Yes",4,0.25
"98",8349,"Espeletia cleefii","COLOMBIA",0.275862068965517,0.29,"Yes",2,0.125
"99",8350,"Espeletia cleefii","COLOMBIA",0.310344827586207,0.29,"Yes",1,0.0625
"100",8502,"Espeletia cleefii","COLOMBIA",0.275862068965517,0.29,"Yes",2,0.125
"101",8503,"Espeletia cleefii","COLOMBIA",0.0689655172413793,0.29,"Yes",3,0.1875
"102",10167,"Espeletia cleefii","COLOMBIA",0.0344827586206897,0.29,"Yes",4,0.25
"103",5894,"Espeletia conglomerata","COLOMBIA",0.0263157894736842,0.76,"Yes",6,0.0645161290322581
"104",6507,"Espeletia conglomerata","COLOMBIA",0.0131578947368421,0.76,"Yes",7,0.0752688172043011
"105",6660,"Espeletia conglomerata","COLOMBIA",0.105263157894737,0.76,"Yes",3,0.032258064516129
"106",6662,"Espeletia conglomerata","COLOMBIA",0.0263157894736842,0.76,"Yes",6,0.0645161290322581
"107",6663,"Espeletia conglomerata","COLOMBIA",0.0263157894736842,0.76,"Yes",6,0.0645161290322581
"108",6665,"Espeletia conglomerata","COLOMBIA",0.0263157894736842,0.76,"Yes",6,0.0645161290322581
"109",6665,"Espeletia conglomerata","VENEZUELA",0.0263157894736842,0.76,"Yes",6,0.0645161290322581
"110",6813,"Espeletia conglomerata","COLOMBIA",0.263157894736842,0.76,"Yes",1,0.010752688172043
"111",6815,"Espeletia conglomerata","COLOMBIA",0.0131578947368421,0.76,"Yes",7,0.0752688172043011
"112",6816,"Espeletia conglomerata","COLOMBIA",0.0526315789473684,0.76,"Yes",5,0.053763440860215
"113",6966,"Espeletia conglomerata","COLOMBIA",0.0263157894736842,0.76,"Yes",6,0.0645161290322581
"114",7120,"Espeletia conglomerata","COLOMBIA",0.0131578947368421,0.76,"Yes",7,0.0752688172043011
"115",7121,"Espeletia conglomerata","COLOMBIA",0.0131578947368421,0.76,"Yes",7,0.0752688172043011
"116",7272,"Espeletia conglomerata","COLOMBIA",0.0131578947368421,0.76,"Yes",7,0.0752688172043011
"117",7273,"Espeletia conglomerata","COLOMBIA",0.0657894736842105,0.76,"Yes",4,0.043010752688172
"118",7274,"Espeletia conglomerata","COLOMBIA",0.0657894736842105,0.76,"Yes",4,0.043010752688172
"119",7427,"Espeletia conglomerata","COLOMBIA",0.105263157894737,0.76,"Yes",3,0.032258064516129
"120",7734,"Espeletia conglomerata","COLOMBIA",0.118421052631579,0.76,"Yes",2,0.021505376344086
"121",5894,"Espeletia diazii","COLOMBIA",1,0.02,"Yes",1,1
"122",8802,"Espeletia discoidea","COLOMBIA",0.4,0.05,"Yes",1,0.25
"123",8954,"Espeletia discoidea","COLOMBIA",0.2,0.05,"Yes",2,0.5
"124",8955,"Espeletia discoidea","COLOMBIA",0.4,0.05,"Yes",1,0.25
"125",1458,"Espeletia divisoriensis","COLOMBIA",0.166666666666667,0.06,"Yes",1,0.166666666666667
"126",1458,"Espeletia divisoriensis","VENEZUELA",0.166666666666667,0.06,"Yes",1,0.166666666666667
"127",1763,"Espeletia divisoriensis","COLOMBIA",0.166666666666667,0.06,"Yes",1,0.166666666666667
"128",2069,"Espeletia divisoriensis","COLOMBIA",0.166666666666667,0.06,"Yes",1,0.166666666666667
"129",2069,"Espeletia divisoriensis","VENEZUELA",0.166666666666667,0.06,"Yes",1,0.166666666666667
"130",6665,"Espeletia divisoriensis","COLOMBIA",0.166666666666667,0.06,"Yes",1,0.166666666666667
"131",7427,"Espeletia dugandii","COLOMBIA",0.230769230769231,0.13,"Yes",2,0.222222222222222
"132",7580,"Espeletia dugandii","COLOMBIA",0.153846153846154,0.13,"Yes",3,0.333333333333333
"133",7581,"Espeletia dugandii","COLOMBIA",0.461538461538462,0.13,"Yes",1,0.111111111111111
"134",7732,"Espeletia dugandii","COLOMBIA",0.153846153846154,0.13,"Yes",3,0.333333333333333
"135",9112,"Espeletia episcopalis","COLOMBIA",1,0.01,"Yes",1,1
"136",6813,"Espeletia estanislana","COLOMBIA",0.0666666666666667,0.15,"Yes",4,0.285714285714286
"137",6966,"Espeletia estanislana","COLOMBIA",0.0666666666666667,0.15,"Yes",4,0.285714285714286
"138",7120,"Espeletia estanislana","COLOMBIA",0.133333333333333,0.15,"Yes",3,0.214285714285714
"139",7274,"Espeletia estanislana","COLOMBIA",0.2,0.15,"Yes",2,0.142857142857143
"140",7427,"Espeletia estanislana","COLOMBIA",0.533333333333333,0.15,"Yes",1,0.0714285714285714
"141",9112,"Espeletia formosa","COLOMBIA",1,0.03,"Yes",1,1
"142",6660,"Espeletia funckii","COLOMBIA",0.307692307692308,0.13,"Yes",1,0.0769230769230769
"143",6813,"Espeletia funckii","COLOMBIA",0.307692307692308,0.13,"Yes",1,0.0769230769230769
"144",6814,"Espeletia funckii","COLOMBIA",0.153846153846154,0.13,"Yes",2,0.153846153846154
"145",6966,"Espeletia funckii","COLOMBIA",0.0769230769230769,0.13,"Yes",3,0.230769230769231
"146",7120,"Espeletia funckii","COLOMBIA",0.0769230769230769,0.13,"Yes",3,0.230769230769231
"147",7887,"Espeletia funckii","COLOMBIA",0.0769230769230769,0.13,"Yes",3,0.230769230769231
"148",9407,"Espeletia garciae","COLOMBIA",0.0833333333333333,0.36,"Yes",3,0.176470588235294
"149",9408,"Espeletia garciae","COLOMBIA",0.611111111111111,0.36,"Yes",1,0.0588235294117647
"150",9560,"Espeletia garciae","COLOMBIA",0.0833333333333333,0.36,"Yes",3,0.176470588235294
"151",9561,"Espeletia garciae","COLOMBIA",0.166666666666667,0.36,"Yes",2,0.117647058823529
"152",10472,"Espeletia garciae","COLOMBIA",0.0277777777777778,0.36,"Yes",4,0.235294117647059
"153",11086,"Espeletia garciae","COLOMBIA",0.0277777777777778,0.36,"Yes",4,0.235294117647059
"154",6662,"Espeletia glandulosa","COLOMBIA",0.0126582278481013,0.79,"Yes",9,0.0681818181818182
"155",8345,"Espeletia glandulosa","COLOMBIA",0.0506329113924051,0.79,"Yes",6,0.0454545454545455
"156",8497,"Espeletia glandulosa","COLOMBIA",0.0379746835443038,0.79,"Yes",7,0.053030303030303
"157",8498,"Espeletia glandulosa","COLOMBIA",0.0126582278481013,0.79,"Yes",9,0.0681818181818182
"158",8650,"Espeletia glandulosa","COLOMBIA",0.0253164556962025,0.79,"Yes",8,0.0606060606060606
"159",8651,"Espeletia glandulosa","COLOMBIA",0.0506329113924051,0.79,"Yes",6,0.0454545454545455
"160",8803,"Espeletia glandulosa","COLOMBIA",0.151898734177215,0.79,"Yes",1,0.00757575757575758
"161",8955,"Espeletia glandulosa","COLOMBIA",0.0126582278481013,0.79,"Yes",9,0.0681818181818182
"162",9105,"Espeletia glandulosa","COLOMBIA",0.0379746835443038,0.79,"Yes",7,0.053030303030303
"163",9106,"Espeletia glandulosa","COLOMBIA",0.139240506329114,0.79,"Yes",2,0.0151515151515152
"164",9107,"Espeletia glandulosa","COLOMBIA",0.0379746835443038,0.79,"Yes",7,0.053030303030303
"165",9108,"Espeletia glandulosa","COLOMBIA",0.0759493670886076,0.79,"Yes",5,0.0378787878787879
"166",9258,"Espeletia glandulosa","COLOMBIA",0.0886075949367089,0.79,"Yes",4,0.0303030303030303
"167",9259,"Espeletia glandulosa","COLOMBIA",0.0253164556962025,0.79,"Yes",8,0.0606060606060606
"168",9407,"Espeletia glandulosa","COLOMBIA",0.0126582278481013,0.79,"Yes",9,0.0681818181818182
"169",9408,"Espeletia glandulosa","COLOMBIA",0.113924050632911,0.79,"Yes",3,0.0227272727272727
"170",9409,"Espeletia glandulosa","COLOMBIA",0.0126582278481013,0.79,"Yes",9,0.0681818181818182
"171",9560,"Espeletia glandulosa","COLOMBIA",0.0759493670886076,0.79,"Yes",5,0.0378787878787879
