"Id","name_clean","PAIS","perc_occ_ERR","threshold","cumple","RankcA5","NormcA5"
"1",7274,"Espeletia × almorzana","COLOMBIA",0.333333333333333,0.3,"Yes",1,0.333333333333333
"2",7427,"Espeletia × almorzana","COLOMBIA",0.333333333333333,0.3,"Yes",1,0.333333333333333
"3",7732,"Espeletia × almorzana","COLOMBIA",0.333333333333333,0.3,"Yes",1,0.333333333333333
"4",4080,"Espeletia × cuniculorum","VENEZUELA",1,0.1,"Yes",1,1
"5",11086,"Espeletia × garcibarrigae","COLOMBIA",1,0.2,"Yes",1,1
"6",11086,"Espeletia × guascensis","COLOMBIA",1,0.1,"Yes",1,1
"7",4841,"Espeletia × josephensis","VENEZUELA",0.571428571428571,0.7,"Yes",1,0.333333333333333
"8",4995,"Espeletia × josephensis","VENEZUELA",0.428571428571429,0.7,"Yes",2,0.666666666666667
"9",10472,"Espeletia × pachoana","COLOMBIA",1,0.1,"Yes",1,1
"10",11390,"Espeletia × verdeana","COLOMBIA",0.8,0.5,"Yes",1,0.333333333333333
"11",11543,"Espeletia × verdeana","COLOMBIA",0.2,0.5,"Yes",2,0.666666666666667
"12",2865,"Espeletia × wurdackii","VENEZUELA",0.666666666666667,0.3,"Yes",1,0.333333333333333
"13",2866,"Espeletia × wurdackii","VENEZUELA",0.333333333333333,0.3,"Yes",2,0.666666666666667
"14",3928,"Espeletia albarregensis","VENEZUELA",1,0.2,"Yes",1,1
"15",9111,"Espeletia ariana","COLOMBIA",1,0.3,"Yes",1,1
"16",3169,"Espeletia aristeguietana","VENEZUELA",0.352941176470588,1.7,"Yes",2,0.666666666666667
"17",3322,"Espeletia aristeguietana","VENEZUELA",0.647058823529412,1.7,"Yes",1,0.333333333333333
"18",8802,"Espeletia azucarina","COLOMBIA",0.75,0.4,"Yes",1,0.333333333333333
"19",8954,"Espeletia azucarina","COLOMBIA",0.25,0.4,"Yes",2,0.666666666666667
"20",3779,"Espeletia banksiifolia","VENEZUELA",1,0.2,"Yes",1,1
"21",8960,"Espeletia betancurii","COLOMBIA",1,0.2,"Yes",1,1
"22",12457,"Espeletia cabrerensis","COLOMBIA",1,0.5,"Yes",1,1
"23",6660,"Espeletia canescens","COLOMBIA",1,0.2,"Yes",1,1
"24",6665,"Espeletia cardonae","VENEZUELA",0.125,0.8,"Yes",3,0.333333333333333
"25",6666,"Espeletia cardonae","COLOMBIA",0.5,0.8,"Yes",1,0.111111111111111
"26",6666,"Espeletia cardonae","VENEZUELA",0.25,0.8,"Yes",2,0.222222222222222
"27",6667,"Espeletia cardonae","VENEZUELA",0.125,0.8,"Yes",3,0.333333333333333
"28",8952,"Espeletia chontalensis","COLOMBIA",0.5,0.2,"Yes",1,0.5
"29",8953,"Espeletia chontalensis","COLOMBIA",0.5,0.2,"Yes",1,0.5
"30",4690,"Espeletia cuatrecasasii","VENEZUELA",1,0.3,"Yes",1,1
"31",5894,"Espeletia diazii","COLOMBIA",1,0.2,"Yes",1,1
"32",8802,"Espeletia discoidea","COLOMBIA",0.4,0.5,"Yes",1,0.25
"33",8954,"Espeletia discoidea","COLOMBIA",0.2,0.5,"Yes",2,0.5
"34",8955,"Espeletia discoidea","COLOMBIA",0.4,0.5,"Yes",1,0.25
"35",2560,"Espeletia emmanuelis","VENEZUELA",0.142857142857143,1.4,"Yes",2,0.285714285714286
"36",2561,"Espeletia emmanuelis","VENEZUELA",0.142857142857143,1.4,"Yes",2,0.285714285714286
"37",2713,"Espeletia emmanuelis","VENEZUELA",0.142857142857143,1.4,"Yes",2,0.285714285714286
"38",2866,"Espeletia emmanuelis","VENEZUELA",0.571428571428571,1.4,"Yes",1,0.142857142857143
"39",9112,"Espeletia episcopalis","COLOMBIA",1,0.1,"Yes",1,1
"40",3775,"Espeletia figueirasii","VENEZUELA",1,0.1,"Yes",1,1
"41",9112,"Espeletia formosa","COLOMBIA",1,0.3,"Yes",1,1
"42",4691,"Espeletia grisea","VENEZUELA",1,0.3,"Yes",1,1
"43",4842,"Espeletia hanburyana","VENEZUELA",0.8,0.5,"Yes",1,0.333333333333333
"44",4994,"Espeletia hanburyana","VENEZUELA",0.2,0.5,"Yes",2,0.666666666666667
"45",7121,"Espeletia insignis","COLOMBIA",0.25,0.4,"Yes",2,0.666666666666667
"46",7274,"Espeletia insignis","COLOMBIA",0.75,0.4,"Yes",1,0.333333333333333
"47",5141,"Espeletia jahnii","VENEZUELA",0.25,0.4,"Yes",2,0.666666666666667
"48",5294,"Espeletia jahnii","VENEZUELA",0.75,0.4,"Yes",1,0.333333333333333
"49",4994,"Espeletia leucactina","VENEZUELA",0.25,0.4,"Yes",2,0.666666666666667
"50",5294,"Espeletia leucactina","VENEZUELA",0.75,0.4,"Yes",1,0.333333333333333
"51",3324,"Espeletia lopez-palacii","VENEZUELA",0.181818181818182,1.1,"Yes",2,0.666666666666667
"52",3477,"Espeletia lopez-palacii","VENEZUELA",0.818181818181818,1.1,"Yes",1,0.333333333333333
"53",4538,"Espeletia lucida","VENEZUELA",0.444444444444444,0.9,"Yes",2,0.666666666666667
"54",4539,"Espeletia lucida","VENEZUELA",0.555555555555556,0.9,"Yes",1,0.333333333333333
"55",4387,"Espeletia margarita","VENEZUELA",1,0.1,"Yes",1,1
"56",15331,"Espeletia marnixiana","COLOMBIA",1,0.1,"Yes",1,1
"57",3779,"Espeletia marthae","VENEZUELA",0.875,0.8,"Yes",1,0.333333333333333
"58",4538,"Espeletia marthae","VENEZUELA",0.125,0.8,"Yes",2,0.666666666666667
"59",12458,"Espeletia miradorensis","COLOMBIA",1,0.1,"Yes",1,1
"60",9263,"Espeletia mutabilis","COLOMBIA",1,0.1,"Yes",1,1
"61",9416,"Espeletia ocetana","COLOMBIA",1,0.1,"Yes",1,1
"62",9258,"Espeletia paipana","COLOMBIA",1,0.5,"Yes",1,1
"63",4235,"Espeletia palustris","VENEZUELA",1,0.1,"Yes",1,1
"64",2866,"Espeletia parvula","VENEZUELA",1,0.5,"Yes",1,1
"65",9112,"Espeletia pisbana","COLOMBIA",1,0.3,"Yes",1,1
"66",7274,"Espeletia praesidentis","COLOMBIA",1,0.1,"Yes",1,1
"67",8959,"Espeletia pulcherrima","COLOMBIA",0.5,0.2,"Yes",1,0.5
"68",8960,"Espeletia pulcherrima","COLOMBIA",0.5,0.2,"Yes",1,0.5
"69",9566,"Espeletia ramosa","COLOMBIA",0.5,0.2,"Yes",1,0.5
"70",9718,"Espeletia ramosa","COLOMBIA",0.5,0.2,"Yes",1,0.5
"71",10018,"Espeletia raquirensis","COLOMBIA",1,0.7,"Yes",1,1
"72",4991,"Espeletia ruizii","VENEZUELA",0.12,2.5,"Yes",3,0.5
"73",4992,"Espeletia ruizii","VENEZUELA",0.68,2.5,"Yes",1,0.166666666666667
"74",5144,"Espeletia ruizii","VENEZUELA",0.16,2.5,"Yes",2,0.333333333333333
"75",6663,"Espeletia sanchezii","COLOMBIA",0.846153846153846,1.3,"Yes",1,1
"76",4995,"Espeletia spectabilis","VENEZUELA",0.714285714285714,2.1,"Yes",1,1
"77",3627,"Espeletia tenorae","VENEZUELA",0.142857142857143,1.4,"Yes",3,0.5
"78",3779,"Espeletia tenorae","VENEZUELA",0.642857142857143,1.4,"Yes",1,0.166666666666667
"79",3932,"Espeletia tenorae","VENEZUELA",0.214285714285714,1.4,"Yes",2,0.333333333333333
"80",9105,"Espeletia tibamoensis","COLOMBIA",0.5,0.2,"Yes",1,0.5
"81",9870,"Espeletia tibamoensis","COLOMBIA",0.5,0.2,"Yes",1,0.5
"82",1305,"Espeletia tillettii","VENEZUELA",1,0.1,"Yes",1,1
"83",6663,"Espeletia trianae","COLOMBIA",1,0.1,"Yes",1,1
"84",2866,"Espeletia ulotricha","VENEZUELA",1,1.5,"Yes",1,1
"85",4996,"Espeletia usubillagae","VENEZUELA",1,0.1,"Yes",1,1
"86",3324,"Espeletia viridis","VENEZUELA",0.2,0.5,"Yes",2,0.666666666666667
"87",3477,"Espeletia viridis","VENEZUELA",0.8,0.5,"Yes",1,0.333333333333333
"88",8953,"Espeletiopsis laxiflora","COLOMBIA",1,0.1,"Yes",1,1
